Percentage served,Time in ms
0,2572.006
1,3026.328
2,3479.552
3,3930.618
4,4378.941
5,4824.828
6,5269.339
7,5709.437
8,6151.686
9,6590.804
10,7028.831
11,7462.637
12,7896.046
13,8317.259
14,8750.472
15,9179.116
16,9605.854
17,10029.192
18,10450.198
19,10869.719
20,11287.250
21,11700.588
22,12113.945
23,12523.358
24,12934.407
25,13344.227
26,13632.970
27,13636.370
28,13639.029
29,13641.425
30,13644.021
31,13646.393
32,13649.494
33,13653.032
34,13656.360
35,13660.089
36,13664.634
37,13668.418
38,13672.696
39,13677.490
40,13680.100
41,13681.920
42,13684.057
43,13686.235
44,13688.423
45,13690.644
46,13692.673
47,13695.000
48,13698.256
49,13701.974
50,13706.475
51,13708.854
52,13710.103
53,13711.250
54,13712.990
55,13714.720
56,13717.446
57,13719.226
58,13720.693
59,13722.368
60,13723.784
61,13726.419
62,13729.708
63,13733.979
64,13736.576
65,13739.640
66,13743.380
67,13745.987
68,13748.761
69,13752.013
70,13754.859
71,13757.338
72,13759.725
73,13762.443
74,13764.957
75,13766.984
76,13769.519
77,13771.723
78,13773.286
79,13774.676
80,13777.626
81,13780.507
82,13783.928
83,13788.208
84,13791.316
85,13795.337
86,13797.513
87,13798.806
88,13800.723
89,13803.242
90,13804.997
91,13806.588
92,13808.398
93,13810.929
94,13813.097
95,13815.056
96,13817.116
97,13819.975
98,13822.533
99,13826.015
100,13862.673
