Percentage served,Time in ms
0,3413.309
1,3867.134
2,4315.201
3,4671.323
4,5002.630
5,5147.138
6,5435.351
7,5712.506
8,5947.124
9,6345.805
10,6654.085
11,6859.976
12,7095.170
13,7321.132
14,7519.357
15,7703.738
16,7920.640
17,8024.964
18,8030.230
19,8034.739
20,8039.462
21,8044.339
22,8049.133
23,8107.038
24,8264.355
25,8387.875
26,8491.135
27,8669.100
28,8826.503
29,8913.544
30,9010.105
31,9105.322
32,9241.005
33,9400.328
34,9547.711
35,9667.368
36,9798.793
37,9918.236
38,10044.678
39,10159.666
40,10290.065
41,10440.856
42,10593.828
43,10769.623
44,10993.305
45,11156.426
46,11375.829
47,11604.130
48,11828.021
49,12138.335
50,12457.214
51,12816.716
52,13405.532
53,14128.074
54,14203.442
55,14207.530
56,14211.205
57,14214.942
58,14218.399
59,14222.485
60,14226.218
61,14229.746
62,14230.941
63,14233.783
64,14237.864
65,14241.625
66,14245.716
67,14246.994
68,14247.196
69,14247.401
70,14248.238
71,14249.452
72,14250.497
73,14275.749
74,15351.140
75,16067.293
76,16736.132
77,17620.654
78,17959.721
79,18221.452
80,18460.940
81,18788.983
82,18849.139
83,18860.727
84,19753.656
85,20411.411
86,20440.027
87,20523.885
88,22150.457
89,23697.954
90,24320.469
91,24340.889
92,24469.362
93,25616.469
94,25925.588
95,32857.359
96,32864.870
97,34640.854
98,36036.835
99,37201.764
100,41573.053
