Percentage served,Time in ms
0,112.687
1,1223.215
2,1763.347
3,1977.566
4,2175.021
5,2696.528
6,2848.628
7,2960.094
8,3061.050
9,3197.379
10,3283.493
11,3356.975
12,3490.758
13,3661.312
14,3820.329
15,3960.152
16,4123.529
17,4215.812
18,4272.428
19,4346.932
20,4407.329
21,4504.878
22,4613.066
23,4633.571
24,4651.905
25,4678.779
26,4724.162
27,4798.871
28,4909.341
29,5000.752
30,5002.925
31,5074.104
32,5149.909
33,5256.838
34,5416.790
35,5515.381
36,5597.706
37,5675.933
38,5768.083
39,5879.934
40,5992.725
41,6015.753
42,6031.727
43,6098.308
44,6139.026
45,6208.547
46,6234.597
47,6275.570
48,6422.720
49,6541.882
50,6644.275
51,6702.201
52,6746.705
53,6970.649
54,7401.225
55,7587.896
56,7588.354
57,7588.614
58,7588.868
59,7589.095
60,7589.245
61,7589.585
62,7589.731
63,7590.208
64,7591.086
65,7592.250
66,7593.125
67,7593.729
68,7594.323
69,7594.981
70,7595.168
71,7595.306
72,7595.545
73,7595.797
74,7596.138
75,7596.441
76,7596.886
77,7597.038
78,7597.363
79,7597.490
80,7597.698
81,7597.946
82,7684.187
83,8012.360
84,8247.486
85,8713.727
86,8986.355
87,10758.340
88,10927.355
89,10960.049
90,10991.353
91,11566.040
92,11786.883
93,12035.232
94,12197.285
95,12453.516
96,12662.297
97,12835.288
98,13533.373
99,15233.797
100,20501.216
