Percentage served,Time in ms
0,1139.610
1,2182.431
2,2333.549
3,2487.905
4,2644.376
5,2796.463
6,3105.405
7,3235.073
8,3305.439
9,3367.919
10,3435.061
11,3496.770
12,3559.187
13,3607.923
14,3663.579
15,3712.459
16,3763.547
17,3803.971
18,3845.913
19,3890.554
20,3935.032
21,3972.871
22,4010.158
23,4050.392
24,4096.756
25,4148.877
26,4198.147
27,4251.288
28,4310.643
29,4376.542
30,4434.030
31,4494.499
32,4554.630
33,4598.855
34,4653.461
35,4696.597
36,4743.575
37,4795.262
38,4829.547
39,4862.078
40,4895.354
41,4934.107
42,4965.306
43,5000.302
44,5002.687
45,5019.175
46,5051.794
47,5078.162
48,5110.384
49,5156.677
50,5200.594
51,5258.759
52,5315.046
53,5373.391
54,5431.577
55,5480.563
56,5532.633
57,5577.336
58,5633.343
59,5683.921
60,5736.066
61,5795.415
62,5869.036
63,5946.928
64,6010.078
65,6025.854
66,6060.489
67,6107.340
68,6179.712
69,6280.919
70,6386.829
71,6514.629
72,6635.519
73,6709.470
74,6796.759
75,6887.287
76,6969.606
77,7067.232
78,7128.177
79,7198.628
80,7363.878
81,7521.992
82,7604.561
83,8088.019
84,9374.877
85,9546.770
86,9859.565
87,10195.966
88,10202.273
89,10509.431
90,11047.407
91,11060.627
92,11158.101
93,11545.940
94,11548.052
95,11549.126
96,11549.650
97,11552.730
98,12025.729
99,12787.826
100,13979.077
