Percentage served,Time in ms
0,5929.323
1,6717.899
2,7014.284
3,7472.745
4,7656.696
5,7812.852
6,7958.237
7,8064.699
8,8200.813
9,8422.909
10,8677.820
11,8879.725
12,8998.419
13,9092.688
14,9198.921
15,9315.620
16,9454.404
17,9593.243
18,9736.369
19,9851.407
20,10034.684
21,10248.190
22,10382.978
23,10491.818
24,10598.868
25,10791.650
26,10934.370
27,11050.601
28,11162.794
29,11284.197
30,11518.556
31,11771.923
32,12039.269
33,12274.323
34,12520.259
35,12804.892
36,13179.677
37,13523.992
38,13962.656
39,14267.684
40,14558.525
41,14917.594
42,15208.323
43,15584.003
44,15695.871
45,15700.414
46,15706.010
47,15707.626
48,15709.788
49,15710.039
50,15710.159
51,15710.313
52,15710.540
53,15710.700
54,15711.001
55,15711.763
56,15712.855
57,15713.971
58,15714.668
59,15717.632
60,15719.443
61,15719.746
62,15719.849
63,15719.918
64,15720.004
65,15720.208
66,15720.513
67,15720.702
68,15720.945
69,15721.167
70,15721.390
71,15721.613
72,15721.806
73,15721.985
74,15722.045
75,15722.408
76,15722.589
77,15723.529
78,15724.436
79,15724.587
80,15724.761
81,15724.938
82,15725.113
83,15725.222
84,15725.452
85,15725.624
86,15951.709
87,16230.348
88,16531.949
89,17139.527
90,17579.627
91,17991.046
92,18614.078
93,19158.067
94,19903.055
95,20530.099
96,20821.479
97,21409.696
98,22723.066
99,24673.065
100,24974.773
