Percentage served,Time in ms
0,108.289
1,1608.465
2,2021.608
3,2317.094
4,2535.510
5,2864.877
6,3330.291
7,3468.683
8,3586.903
9,3714.211
10,3952.749
11,4265.323
12,4507.937
13,4611.296
14,4698.826
15,4784.309
16,4877.685
17,4986.694
18,5002.764
19,5002.931
20,5003.299
21,5054.837
22,5146.796
23,5264.628
24,5406.072
25,5525.672
26,5704.544
27,5782.602
28,5854.543
29,5943.134
30,6003.146
31,6011.231
32,6019.608
33,6027.432
34,6035.993
35,6118.121
36,6218.031
37,6362.711
38,6437.848
39,6626.014
40,6703.313
41,6813.078
42,6911.772
43,7033.500
44,7204.985
45,7545.012
46,8035.404
47,8128.386
48,8311.585
49,8450.361
50,9016.704
51,9219.209
52,9479.744
53,9826.539
54,9827.689
55,9828.442
56,9829.191
57,9830.760
58,9833.169
59,9835.611
60,9837.438
61,9838.558
62,9839.696
63,9841.253
64,9841.821
65,9843.502
66,9845.115
67,9846.937
68,9848.198
69,9850.970
70,9853.621
71,9855.395
72,9857.198
73,9858.687
74,9860.304
75,9861.941
76,9863.620
77,9865.152
78,10043.360
79,10652.617
80,12163.641
81,12286.324
82,13392.475
83,13788.746
84,16713.410
85,16778.575
86,17657.761
87,18992.085
88,19003.910
89,19933.946
90,20053.622
91,20398.050
92,20443.904
93,20487.853
94,21509.658
95,21532.775
96,21650.729
97,21939.748
98,22283.258
99,24967.536
100,25779.010
