Percentage served,Time in ms
0,3.946
1,6.123
2,6.530
3,6.985
4,7.920
5,712.048
6,833.111
7,974.839
8,1115.731
9,1293.495
10,1484.286
11,1673.998
12,1831.488
13,1937.128
14,2061.078
15,2155.610
16,2265.306
17,2366.293
18,2501.612
19,2613.056
20,2733.068
21,2965.408
22,3165.773
23,3296.983
24,3403.948
25,3535.589
26,3653.074
27,3776.132
28,3891.944
29,3991.533
30,4156.295
31,4324.605
32,4517.832
33,4636.428
34,4760.274
35,4864.314
36,4936.276
37,5000.896
38,5085.074
39,5176.197
40,5272.787
41,5410.197
42,5620.574
43,5713.608
44,5835.887
45,5991.279
46,6014.313
47,6029.015
48,6076.220
49,6194.662
50,6293.533
51,6384.875
52,6441.389
53,6710.390
54,6910.876
55,6995.914
56,7201.832
57,7363.665
58,7577.537
59,8079.319
60,8422.840
61,8882.288
62,10200.617
63,10202.143
64,10203.837
65,10204.693
66,10205.401
67,10206.801
68,10209.993
69,10211.207
70,10212.912
71,10214.550
72,10215.794
73,10216.800
74,10217.728
75,10218.470
76,10218.653
77,10218.799
78,10219.030
79,10219.113
80,10219.233
81,10219.523
82,10219.942
83,10220.808
84,10221.445
85,11345.450
86,12111.875
87,12716.493
88,13457.144
89,13698.786
90,14163.450
91,16850.547
92,17894.642
93,19153.083
94,20353.993
95,20466.192
96,20917.141
97,20921.330
98,23095.021
99,25472.548
100,26246.287
