Percentage served,Time in ms
0,2952.392
1,4053.955
2,4648.281
3,5002.660
4,5002.790
5,5002.892
6,5044.386
7,5466.499
8,5969.869
9,6008.317
10,6015.906
11,6023.060
12,6030.266
13,6060.569
14,6235.916
15,6478.631
16,6905.810
17,7156.552
18,7271.161
19,7365.892
20,7461.251
21,7559.368
22,7668.370
23,7705.061
24,7789.472
25,7901.990
26,8001.572
27,8030.112
28,8041.534
29,8050.116
30,8098.809
31,8163.719
32,8247.521
33,8336.179
34,8441.198
35,8493.797
36,8520.833
37,8571.345
38,8659.335
39,8743.235
40,8824.516
41,8914.029
42,8982.349
43,9044.547
44,9094.657
45,9171.188
46,9263.880
47,9353.203
48,9463.174
49,9591.202
50,9871.073
51,10159.304
52,10339.545
53,10492.512
54,10672.749
55,10952.941
56,11243.363
57,11748.811
58,12106.792
59,12272.466
60,12894.863
61,12898.395
62,12902.051
63,12905.644
64,12909.127
65,12912.760
66,12916.135
67,12919.372
68,12922.899
69,12926.065
70,12929.524
71,12932.975
72,12936.479
73,12939.494
74,12941.867
75,12942.925
76,12943.663
77,12946.100
78,12948.179
79,13180.711
80,14008.484
81,14752.427
82,15259.515
83,15672.635
84,16455.453
85,16623.972
86,16775.737
87,18408.600
88,19031.017
89,19238.967
90,22907.833
91,23396.699
92,23909.248
93,24690.454
94,24921.714
95,24955.813
96,28334.402
97,34904.798
98,36510.468
99,37660.120
100,40190.359
