Percentage served,Time in ms
0,2759.821
1,3138.355
2,3390.959
3,3567.310
4,3658.486
5,3748.996
6,3825.296
7,3907.564
8,3983.197
9,4068.730
10,4224.685
11,4408.728
12,4602.647
13,4782.871
14,4819.110
15,4847.629
16,4869.562
17,4879.027
18,4893.573
19,4897.408
20,4917.403
21,4961.869
22,5002.948
23,5003.070
24,5033.367
25,5107.220
26,5112.792
27,5407.163
28,5667.598
29,5796.469
30,5988.633
31,6009.547
32,6017.270
33,6024.063
34,6031.150
35,6037.172
36,6149.361
37,6356.948
38,6428.017
39,6527.399
40,6541.258
41,6562.889
42,6578.402
43,6592.362
44,6655.606
45,6713.661
46,6722.822
47,6767.107
48,6784.957
49,6934.992
50,7066.694
51,8054.121
52,8254.278
53,8262.941
54,8305.478
55,8323.754
56,8477.344
57,8499.852
58,10069.587
59,10352.460
60,10649.696
61,10778.031
62,10938.412
63,11087.670
64,11501.213
65,12352.761
66,12935.372
67,14034.939
68,14037.267
69,14039.294
70,14044.559
71,14048.939
72,14051.306
73,14053.193
74,14055.102
75,14057.307
76,14059.369
77,14061.404
78,14063.453
79,14066.200
80,14068.573
81,14070.669
82,14071.179
83,14071.367
84,14071.831
85,14074.207
86,14076.584
87,14079.420
88,14081.645
89,14084.076
90,14086.528
91,14088.632
92,14090.912
93,14093.046
94,14093.789
95,14094.187
96,15995.106
97,20267.590
98,20278.000
99,20403.580
100,20503.713
