Percentage served,Time in ms
0,302.315
1,809.297
2,1028.645
3,1038.639
4,1059.659
5,1320.414
6,1520.603
7,1694.675
8,1887.797
9,2109.046
10,2338.537
11,2456.903
12,2587.871
13,2710.250
14,2957.000
15,3202.267
16,3390.460
17,3511.198
18,3619.138
19,3735.564
20,3873.927
21,4019.228
22,4135.702
23,4276.798
24,4476.975
25,4719.849
26,4879.367
27,4987.547
28,5046.703
29,5161.048
30,5246.319
31,5343.187
32,5471.697
33,5569.339
34,5653.785
35,5751.239
36,5825.988
37,5914.724
38,6021.181
39,6152.188
40,6238.465
41,6289.029
42,6361.246
43,6429.460
44,6497.081
45,6563.676
46,6613.646
47,6659.608
48,6710.778
49,6764.876
50,6822.028
51,6875.261
52,6942.718
53,7069.493
54,7217.855
55,7305.591
56,7387.558
57,7495.037
58,7604.823
59,7691.819
60,7812.690
61,7952.156
62,8128.910
63,8492.175
64,9032.007
65,10276.289
66,10278.847
67,10282.252
68,10284.949
69,10287.331
70,10288.403
71,10289.513
72,10290.117
73,10291.190
74,10292.407
75,10293.277
76,10295.287
77,10297.549
78,10298.032
79,10298.606
80,10299.101
81,10301.094
82,10301.988
83,10302.285
84,10302.372
85,10302.479
86,10797.223
87,11646.446
88,12276.840
89,12503.366
90,12829.699
91,13329.737
92,13689.929
93,14604.267
94,20739.993
95,21277.914
96,21825.278
97,22132.115
98,23002.957
99,24091.259
100,26015.940
