Percentage served,Time in ms
0,2571.940
1,3068.845
2,3561.800
3,4054.045
4,4540.792
5,5027.999
6,5514.334
7,5997.815
8,6481.137
9,6960.932
10,7438.201
11,7914.304
12,8386.606
13,8856.665
14,9322.617
15,9791.274
16,10253.533
17,10712.097
18,11170.004
19,11614.853
20,12069.993
21,12544.203
22,12994.622
23,13442.532
24,13888.314
25,14331.923
26,14772.052
27,15210.744
28,15651.146
29,16088.999
30,16274.090
31,16279.692
32,16285.159
33,16290.561
34,16295.981
35,16301.335
36,16303.692
37,16305.933
38,16307.990
39,16310.367
40,16312.222
41,16314.477
42,16317.031
43,16319.456
44,16321.483
45,16324.058
46,16326.975
47,16330.285
48,16334.109
49,16337.696
50,16340.876
51,16343.077
52,16344.956
53,16346.774
54,16348.465
55,16350.373
56,16352.219
57,16354.123
58,16355.974
59,16357.740
60,16359.595
61,16361.489
62,16363.203
63,16366.534
64,16370.735
65,16373.629
66,16376.185
67,16378.220
68,16380.433
69,16382.637
70,16384.986
71,16387.266
72,16390.820
73,16396.116
74,16400.645
75,16403.236
76,16405.737
77,16408.067
78,16410.541
79,16413.119
80,16417.623
81,16421.497
82,16423.764
83,16426.124
84,16428.507
85,16432.250
86,16434.996
87,16437.172
88,16439.205
89,16441.676
90,16443.667
91,16446.374
92,16448.574
93,16450.985
94,16452.476
95,16454.464
96,16455.960
97,16457.472
98,16459.844
99,16461.866
100,16469.328
