Percentage served,Time in ms
0,4001.946
1,4674.311
2,4926.433
3,5002.986
4,5003.052
5,5003.101
6,5003.139
7,5003.169
8,5003.217
9,5003.364
10,5283.865
11,5610.819
12,5800.485
13,5975.568
14,6018.038
15,6033.105
16,6178.385
17,6451.002
18,6871.617
19,7053.960
20,7220.433
21,7383.803
22,7530.742
23,7694.697
24,7867.202
25,7976.357
26,8031.895
27,8045.688
28,8169.635
29,8318.516
30,8415.412
31,8532.558
32,8656.449
33,8836.168
34,8998.164
35,9129.794
36,9290.101
37,9575.394
38,9789.114
39,9793.658
40,9811.901
41,9825.376
42,10022.269
43,10278.441
44,10557.639
45,10924.541
46,11402.199
47,11478.261
48,11497.065
49,11921.432
50,11941.671
51,12114.436
52,12177.258
53,12222.495
54,12309.649
55,12597.485
56,13178.160
57,13715.040
58,13875.787
59,13877.493
60,13880.130
61,13883.169
62,13887.359
63,13891.952
64,13893.989
65,13896.054
66,13897.985
67,13900.023
68,13902.432
69,13904.629
70,13906.462
71,13906.852
72,13907.252
73,13908.409
74,13910.886
75,13913.471
76,13916.158
77,13918.724
78,13921.162
79,13923.150
80,13925.136
81,13927.405
82,13929.678
83,13931.057
84,13931.911
85,13932.658
86,13932.877
87,13933.061
88,13933.442
89,14305.751
90,14938.453
91,15420.799
92,16071.213
93,16836.171
94,17222.252
95,17965.376
96,21377.257
97,22833.149
98,23005.062
99,23985.165
100,24744.076
