Percentage served,Time in ms
0,4237.806
1,4668.455
2,5006.078
3,5660.722
4,6005.366
5,6018.129
6,6030.196
7,6202.345
8,6625.946
9,6941.643
10,7189.968
11,7469.373
12,7688.164
13,7831.512
14,7985.851
15,8032.118
16,8043.623
17,8087.079
18,8341.732
19,8786.836
20,8957.719
21,9074.346
22,9245.178
23,9383.316
24,9485.576
25,9581.882
26,9668.866
27,9751.907
28,9878.791
29,9963.033
30,10051.383
31,10144.249
32,10265.537
33,10353.142
34,10453.886
35,10603.662
36,10728.028
37,10805.172
38,10879.780
39,10940.512
40,11008.002
41,11086.174
42,11150.664
43,11225.938
44,11325.124
45,11390.757
46,11475.359
47,11594.055
48,11725.856
49,11838.960
50,11948.239
51,12087.651
52,12206.602
53,12331.162
54,12539.490
55,12773.903
56,13180.734
57,13691.043
58,14204.507
59,15210.643
60,16448.045
61,16812.011
62,16816.061
63,16819.922
64,16822.653
65,16826.120
66,16829.420
67,16831.914
68,16835.223
69,16838.317
70,16841.334
71,16843.986
72,16846.830
73,16849.542
74,16852.326
75,16854.933
76,16856.872
77,16858.936
78,16861.843
79,16863.608
80,16863.960
81,16864.169
82,16864.350
83,16876.466
84,17301.131
85,17746.564
86,18089.242
87,18640.582
88,19288.308
89,20367.283
90,20466.252
91,20502.263
92,21635.945
93,23602.743
94,28096.742
95,32593.168
96,35776.458
97,35918.483
98,36143.306
99,36609.721
100,37538.826
