Percentage served,Time in ms
0,2507.663
1,2932.237
2,3355.780
3,3777.914
4,4197.309
5,4614.019
6,5029.932
7,5442.172
8,5853.214
9,6266.203
10,6672.600
11,7078.346
12,7483.652
13,7883.622
14,8271.465
15,8668.158
16,9069.464
17,9463.732
18,9859.169
19,10251.049
20,10641.165
21,11030.895
22,11258.199
23,11263.981
24,11269.282
25,11275.022
26,11280.839
27,11286.521
28,11292.544
29,11298.284
30,11303.918
31,11309.746
32,11315.429
33,11321.145
34,11326.939
35,11332.786
36,11338.581
37,11341.652
38,11344.555
39,11347.400
40,11350.190
41,11353.090
42,11355.714
43,11357.915
44,11361.577
45,11365.260
46,11370.223
47,11374.919
48,11379.336
49,11383.544
50,11387.047
51,11390.565
52,11394.835
53,11398.733
54,11400.529
55,11402.542
56,11404.495
57,11406.126
58,11408.068
59,11409.920
60,11411.809
61,11413.623
62,11415.553
63,11417.206
64,11419.025
65,11421.421
66,11424.407
67,11428.249
68,11431.850
69,11433.946
70,11436.132
71,11438.151
72,11440.156
73,11442.212
74,11444.401
75,11446.256
76,11447.874
77,11450.855
78,11455.165
79,11457.437
80,11459.553
81,11461.480
82,11463.462
83,11465.616
84,11468.036
85,11471.905
86,11475.149
87,11477.233
88,11479.114
89,11480.816
90,11482.491
91,11483.907
92,11485.517
93,11487.237
94,11489.655
95,11491.920
96,11493.317
97,11494.832
98,11496.924
99,11499.217
100,11508.572
